"LevelNumber","FileName","KeyCount","LockCount","Path"
"11","Level_11.asset","1","8","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_11.asset"
"13","Level_13.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_13.asset"
"24","Level_24.asset","2","5","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_24.asset"
"25","Level_25.asset","1","10","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_25.asset"
"26","Level_26.asset","1","15","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_26.asset"
"27","Level_27.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_27.asset"
"38","Level_38.asset","1","11","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_38.asset"
"39","Level_39.asset","2","26","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_39.asset"
"43","Level 43.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 43.asset"
"43","Level_43.asset","1","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_43.asset"
"44","Level 44.asset","1","5","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 44.asset"
"44","Level_44.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_44.asset"
"45","Level 45.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 45.asset"
"45","Level_45.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_45.asset"
"48","Level 48.asset","1","3","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 48.asset"
"49","Level 49.asset","1","12","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 49.asset"
"49","Level_49.asset","3","19","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_49.asset"
"50","Level_50.asset","2","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_50.asset"
"53","Level_53.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_53.asset"
"59","Level 59.asset","1","8","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 59.asset"
"59","Level_59.asset","1","14","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_59.asset"
"69","Level 69.asset","1","10","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 69.asset"
"75","Level 75.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 75.asset"
"75","Level_75.asset","1","10","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_75.asset"
"79","Level 79.asset","1","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 79.asset"
"79","Level_79.asset","1","18","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_79.asset"
"89","Level 89.asset","1","12","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 89.asset"
"96","Level_96.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_96.asset"
"98","Level 98.asset","1","3","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 98.asset"
"99","Level 99.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 99.asset"
"107","Level 107.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 107.asset"
"109","Level_109.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_109.asset"
"115","Level_115.asset","1","26","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_115.asset"
"122","Level_122.asset","1","8","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_122.asset"
"125","Level_125.asset","1","18","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_125.asset"
"128","Level_128.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_128.asset"
"130","Level 130.asset","1","13","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 130.asset"
"131","Level 131.asset","1","20","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 131.asset"
"138","Level 138.asset","1","5","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 138.asset"
"147","Level_147.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_147.asset"
"156","Level 156.asset","1","5","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 156.asset"
"165","Level 165.asset","1","13","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 165.asset"
"189","Level 189.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 189.asset"
"202","Level 202.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 202.asset"
"214","Level_214.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_214.asset"
"263","Level_263.asset","1","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_263.asset"
"268","Level_268.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_268.asset"
"276","Level 276.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 276.asset"
"277","Level 277.asset","1","13","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 277.asset"
"279","Level_279.asset","1","14","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_279.asset"
"295","Level 295.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 295.asset"
"305","Level 305.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 305.asset"
"309","Level 309.asset","2","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 309.asset"
"317","Level 317.asset","1","3","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 317.asset"
"320","Level 320.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 320.asset"
"321","Level 321.asset","1","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 321.asset"
"326","Level 326.asset","1","25","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 326.asset"
"330","Level 330.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 330.asset"
"334","Level 334.asset","1","12","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 334.asset"
"345","Level 345.asset","1","9","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 345.asset"
"360","Level 360.asset","1","8","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 360.asset"
"363","Level 363.asset","1","15","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 363.asset"
"367","Level 367.asset","1","12","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 367.asset"
"388","Level 388.asset","1","20","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 388.asset"
"418","Level 418.asset","1","17","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 418.asset"
"438","Level 438.asset","1","12","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 438.asset"
"442","Level 442.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 442.asset"
"447","Level 447.asset","1","9","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 447.asset"
"448","Level 448.asset","1","5","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 448.asset"
"450","Level 450.asset","1","12","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 450.asset"
"619","Level 619.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 619.asset"
"689","Level 689.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 689.asset"
"749","Level 749.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 749.asset"
"754","Level 754.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 754.asset"
"859","Level 859.asset","1","8","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 859.asset"
"873","Level 873.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 873.asset"
"895","Level 895.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 895.asset"
"955","Level 955.asset","1","5","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 955.asset"
"957","Level 957.asset","1","3","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 957.asset"
"961","Level 961.asset","1","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 961.asset"
"963","Level 963.asset","1","3","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 963.asset"
"982","Level 982.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 982.asset"
"990","Level 990.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 990.asset"
"992","Level 992.asset","1","13","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 992.asset"
"995","Level 995.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 995.asset"
"1008","Level 1008.asset","1","9","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1008.asset"
"1040","Level 1040.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1040.asset"
"1042","Level 1042.asset","1","11","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1042.asset"
"1046","Level 1046.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1046.asset"
"1051","Level 1051.asset","1","5","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1051.asset"
"1067","Level 1067.asset","1","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1067.asset"
"1082","Level 1082.asset","1","3","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1082.asset"
"1095","Level 1095.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1095.asset"
"1099","Level 1099.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1099.asset"
"1129","Level 1129.asset","1","5","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1129.asset"
"1140","Level 1140.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1140.asset"
"1142","Level 1142.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1142.asset"
"1183","Level 1183.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 1183.asset"
"1501","Level_1501.asset","1","13","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1501.asset"
"1502","Level_1502.asset","1","9","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1502.asset"
"1505","Level_1505.asset","1","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1505.asset"
"1508","Level_1508.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1508.asset"
"1509","Level_1509.asset","1","13","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1509.asset"
"1510","Level_1510.asset","1","6","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1510.asset"
"1531","Level_1531.asset","1","10","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1531.asset"
"1538","Level_1538.asset","1","7","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1538.asset"
"1539","Level_1539.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1539.asset"
"1547","Level_1547.asset","1","12","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1547.asset"
"1548","Level_1548.asset","1","4","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_1548.asset"
"10008","Level_10008.asset","1","2","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_10008.asset"
"10017","Level_10017.asset","1","9","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_10017.asset"
"10020","Level_10020.asset","1","1","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_10020.asset"
"20024","Level_20024.asset","1","10","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level_20024.asset"
