"LevelNumber","ServiceInitialHasTimeLimit","ServiceInitialTimeLimit","ServiceInitialRevision","ServiceActualHasTimeLimit","ServiceActualTimeLimit","ServiceActualRevision","LevelAssetPrimaryHasTimeLimit","LevelAssetPrimaryTimeLimit","LevelAssetSecondaryHasTimeLimit","LevelAssetSecondaryTimeLimit","InitialMatchesSecondary","InitialMatchesPrimary","ActualMatchesPrimary","ActualMatchesSecondary","LevelAssetPath"
"25","1","90","4","1","81","3","1","105","1","90","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 25.asset"
"51","1","50","3","1","54","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 51.asset"
"52","1","50","3","1","53","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 52.asset"
"53","1","135","4","1","146","3","1","135","1","135","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 53.asset"
"54","1","170","3","1","169","2","1","170","1","170","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 54.asset"
"55","1","130","4","1","132","3","1","130","1","130","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 55.asset"
"56","1","70","3","1","75","2","1","65","1","70","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 56.asset"
"57","1","70","3","1","72","2","1","70","1","70","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 57.asset"
"58","1","90","4","1","96","3","1","85","1","90","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 58.asset"
"59","1","95","4","1","113","3","1","85","1","95","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 59.asset"
"60","1","50","3","1","56","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 60.asset"
"63","1","55","4","1","58","3","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 63.asset"
"64","1","65","4","1","71","3","1","65","1","65","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 64.asset"
"65","1","75","4","1","76","3","1","70","1","75","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 65.asset"
"66","1","60","3","1","72","2","1","60","1","60","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 66.asset"
"67","1","70","4","1","80","3","1","70","1","70","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 67.asset"
"68","1","55","5","1","72","4","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 68.asset"
"69","1","85","4","1","79","3","1","85","1","85","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 69.asset"
"71","1","50","4","1","54","3","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 71.asset"
"73","1","165","4","1","166","3","1","165","1","165","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 73.asset"
"74","1","65","4","1","73","3","1","65","1","65","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 74.asset"
"75","1","70","4","1","75","3","1","70","1","70","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 75.asset"
"76","1","50","3","1","53","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 76.asset"
"77","1","60","3","1","66","2","1","60","1","60","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 77.asset"
"79","1","95","3","1","99","2","1","95","1","95","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 79.asset"
"80","1","50","3","1","51","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 80.asset"
"81","1","55","3","1","59","2","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 81.asset"
"82","1","50","3","1","52","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 82.asset"
"83","1","70","3","1","72","2","1","70","1","70","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 83.asset"
"84","1","75","3","1","77","2","1","75","1","75","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 84.asset"
"85","1","85","4","1","87","3","1","85","1","85","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 85.asset"
"86","1","55","4","1","61","3","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 86.asset"
"88","1","100","3","1","103","2","1","100","1","100","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 88.asset"
"89","1","100","2","1","93","1","1","105","1","100","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 89.asset"
"90","1","50","3","1","53","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 90.asset"
"92","1","50","3","1","45","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 92.asset"
"93","1","60","4","1","66","3","1","60","1","60","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 93.asset"
"94","1","105","4","1","113","3","1","105","1","105","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 94.asset"
"95","1","130","4","1","135","3","1","140","1","130","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 95.asset"
"96","1","60","4","1","62","3","1","60","1","60","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 96.asset"
"97","1","120","4","1","126","3","1","115","1","120","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 97.asset"
"98","1","90","4","1","95","3","1","90","1","90","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 98.asset"
"99","1","125","4","1","112","3","1","135","1","125","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 99.asset"
"100","1","55","4","1","54","3","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 100.asset"
"101","1","55","4","1","75","3","1","50","1","55","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 101.asset"
"102","1","55","4","1","65","3","1","45","1","55","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 102.asset"
"103","1","70","4","1","79","3","1","70","1","70","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 103.asset"
"104","1","50","5","1","55","4","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 104.asset"
"105","1","190","4","1","208","3","1","180","1","190","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 105.asset"
"106","1","50","4","1","51","3","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 106.asset"
